Timestamp,RPM,SPEED,COOLANT_TEMP,THROTTLE_POS
11:20:54,2546,61,86,65
11:20:55,1225,104,90,86
11:20:55,4990,23,98,54
11:20:56,1152,83,84,22
11:20:56,3620,33,96,45
11:20:57,1699,81,82,74
11:20:57,3239,81,97,37
11:20:58,1958,29,92,31
11:20:58,1183,105,92,85
11:20:59,4817,79,96,31
11:20:59,2159,17,99,64
11:21:00,3603,103,107,29
11:21:00,4213,13,95,97
11:21:01,1024,126,96,8.65
11:21:01,4321,85,82,6.6
11:21:02,3041,38,104,32
11:21:02,4673,15,82,29
11:21:03,3755,96,97,46
11:21:03,1382,56,91,11
11:21:04,1346,3.86,88,70
11:21:04,2528,77,96,63
11:21:05,4379,59,94,30
11:21:05,2105,89,87,88
11:21:06,3417,39,104,28
11:21:06,4042,122,102,4.63
11:21:07,4247,17,107,69
11:21:07,3248,48,103,30
11:21:08,1101,0.81,95,81
11:21:08,4539,20,102,90
11:21:09,3341,69,83,66
11:21:09,3428,26,96,64
11:21:10,1584,97,94,53
11:21:10,3161,61,91,64
11:21:11,1843,104,99,52
11:21:11,3451,127,98,81
11:21:12,4462,97,102,19
11:21:12,2597,127,102,39
11:21:13,3016,63,96,9.61
11:21:13,3138,3.84,106,5.86
11:21:14,1195,34,86,17
11:21:14,3997,70,106,4.52
11:21:15,893,93,104,87
11:21:16,3159,106,87,64
11:21:16,4760,90,99,8.07
11:21:17,1080,52,108,86
11:21:17,1341,29,91,40
11:21:18,2739,94,83,65
11:21:18,3424,68,92,4.87
11:21:19,4670,114,101,97
11:21:19,1991,42,81,14
11:21:20,2862,37,101,77
11:21:20,3176,11,81,91
11:21:21,3780,112,83,56
11:21:21,2169,38,100,68
11:21:22,4094,122,103,91
11:21:22,2725,123,83,84
11:21:23,4025,65,97,9.7
11:21:23,2421,81,104,19
11:21:24,4705,73,98,20
11:21:24,2737,112,80,76
11:21:25,4924,115,92,51
11:21:25,1417,26,81,76
11:21:26,1319,47,81,23
11:21:26,4089,111,85,32
11:21:27,4636,103,97,19
11:21:27,876,93,80,46
11:21:28,3949,66,107,68
11:21:28,916,22,100,84
11:21:29,3205,116,86,44
11:21:29,3712,46,92,79
11:21:30,2721,33,86,90
11:21:30,4504,69,94,36
11:21:31,4694,84,82,40
11:21:31,3912,128,95,57
11:21:32,2578,7.27,91,53
11:21:32,1027,68,108,59
11:21:33,3080,87,91,80
11:21:33,4074,15,80,30
11:21:34,3039,127,93,51
11:21:34,1003,115,93,71
11:21:35,955,116,81,80
11:21:35,4135,77,99,89
11:21:36,1912,36,81,80
11:21:36,4222,33,88,97
11:21:37,3062,46,92,5.88
11:21:37,2429,87,109,22
11:21:38,3609,73,92,88
11:21:38,4830,23,93,0.38
11:21:39,2700,16,86,60
11:21:40,2430,107,90,55
11:21:40,2814,51,99,37
11:21:41,2457,23,102,37
11:21:41,2913,55,89,60
11:21:42,4824,25,100,70
11:21:42,2443,8.33,84,43
11:21:43,4501,126,96,11
11:21:43,1741,68,97,84
11:21:44,4763,64,98,41
11:21:44,1808,4.48,87,6.69
11:21:45,2028,92,102,4.74
11:21:45,968,47,102,29
11:21:46,3410,88,84,26
11:21:46,2946,8.51,97,22
11:21:47,4052,46,98,69
11:21:47,1382,126,106,29
11:21:48,1086,42,102,60
11:21:48,3029,101,102,11
11:21:49,4763,62,88,87
11:21:49,952,56,107,10
11:21:50,988,29,109,57
11:21:50,4023,16,92,45
11:21:51,1071,70,86,51
11:21:51,2207,31,101,83
11:21:52,3952,99,80,
11:21:52,1379,47,81,
11:21:53,2868,97,107,
11:21:53,2704,91,89,
11:21:54,1928,125,90,
11:21:54,2349,54,100,
11:21:55,3399,14,104,
11:21:55,947,47,89,
11:21:56,4493,57,108,
11:21:56,3009,124,109,
11:21:57,3253,47,95,
11:21:57,1998,122,87,
11:21:58,1436,60,104,
11:21:58,1244,68,95,
11:21:59,4613,34,88,
11:21:59,1160,33,96,
11:22:00,3891,89,86,
11:22:00,3459,56,93,
11:22:01,1379,48,96,
11:22:01,3635,22,96,
11:22:02,4488,61,84,
11:22:02,4609,16,83,
11:22:03,3895,121,82,
11:22:03,3826,67,93,
11:22:04,2622,86,101,
11:22:04,4465,95,102,
11:22:05,2289,57,93,
11:22:06,3136,113,103,
11:22:06,3620,105,104,
11:22:07,4947,65,87,
11:22:07,3814,81,104,
11:22:08,1727,49,93,
11:22:08,2426,17,82,
11:22:09,4578,108,103,
11:22:09,4060,32,89,
11:22:10,2382,56,106,
11:22:10,1723,96,84,
11:22:11,2744,23,95,
11:22:11,1604,38,86,
11:22:12,4025,74,89,
11:22:12,1481,5.05,90,
11:22:13,3683,57,96,
11:22:13,3911,89,86,
11:22:14,2525,69,82,
11:22:14,3185,96,90,
11:22:15,1756,61,106,
11:22:15,4148,27,93,
11:22:16,1825,94,90,
11:22:16,4357,10,93,
11:22:17,3267,45,94,
11:22:17,2152,43,103,
11:22:18,4975,107,101,
11:22:18,4249,124,100,
11:22:19,4352,124,99,
11:22:19,3295,28,107,
11:22:20,4200,129,87,
11:22:20,1887,103,105,
11:22:21,1635,22,90,
11:22:21,3604,114,107,
11:22:22,2080,38,94,
11:22:22,1934,60,80,
11:22:23,2621,120,92,
11:22:23,1929,8.39,107,
11:22:24,4868,48,94,
11:22:24,1156,66,95,
11:22:25,4345,9.3,83,
11:22:25,3377,115,99,
11:22:26,1096,60,84,
11:22:26,936,49,88,
11:22:27,2589,80,92,
11:22:27,3795,114,85,
11:22:28,3965,32,103,
11:22:28,1700,124,102,
11:22:29,4940,29,95,
11:22:29,1009,5.73,108,
11:22:30,2296,67,82,
11:22:30,2067,92,109,
11:22:31,4252,121,81,
11:22:31,3893,111,109,
11:22:32,2603,79,95,
11:22:33,3687,105,106,
11:22:33,821,64,96,
11:22:34,4895,24,90,
11:22:34,4160,26,106,
11:22:35,2464,74,96,
11:22:35,4491,107,83,
11:22:36,2958,113,102,
11:22:36,2356,88,98,
11:22:37,1470,104,103,
11:22:37,3268,115,85,
11:22:38,2070,11,105,
11:22:38,1655,6.77,85,
11:22:39,1993,25,100,
11:22:39,3738,47,100,
11:22:40,3289,51,82,
11:22:40,1618,92,89,
11:22:41,3828,107,105,
11:22:41,3158,31,80,
11:22:42,3048,97,80,
11:22:42,1382,110,80,
11:22:43,1102,118,102,
11:22:43,2097,18,86,
11:22:44,2414,74,95,
11:22:44,4501,87,92,
11:22:45,1977,11,85,
11:22:45,2412,72,108,
11:22:46,1645,45,87,
11:22:46,2477,55,84,
11:22:47,3675,39,106,
11:22:47,2865,113,107,
11:22:48,3227,23,109,
11:22:48,1905,18,88,
11:22:49,3476,60,95,
11:22:49,4020,113,100,
11:22:50,2164,76,88,
11:22:50,2662,7.49,106,
11:22:51,3887,69,95,
11:22:51,4772,62,96,
11:22:52,2198,29,88,
11:22:52,1968,102,108,
11:22:53,1150,95,80,
11:22:53,2122,114,95,
11:22:54,3839,7.02,92,
11:22:54,3242,120,88,
11:22:55,3094,71,97,
11:22:55,2076,81,109,
11:22:56,4332,102,88,
11:22:56,4053,71,109,
11:22:57,1426,121,106,
11:22:57,2299,102,102,
11:22:58,4176,68,93,
11:22:58,1187,26,100,
11:22:59,3287,2.72,97,
11:23:00,1842,84,99,
11:23:00,4520,1.69,89,
11:23:01,3724,19,104,
11:23:01,2553,23,102,
11:23:02,2652,82,81,
11:23:02,2920,10,91,
11:23:03,4388,59,101,
11:23:03,2649,98,100,
