Timestamp,VAG_DPF_SOOT_MASS_CALC,VAG_OIL_TEMP
19:02:09,84,5
19:02:10,78,30
19:02:10,1,58
19:02:11,9,43
19:02:12,47,72
19:02:12,57,70
19:02:13,55,79
19:02:13,71,36
19:02:14,37,100
19:02:14,48,63
19:02:15,55,29
19:02:15,98,80
19:02:16,29,12
19:02:17,33,78
19:02:17,91,90
19:02:18,15,30
19:02:18,95,76
19:02:19,61,99
19:02:19,100,89
19:02:20,65,36
19:02:20,70,2
19:02:21,50,64
19:02:22,57,53
19:02:22,49,57
19:02:23,89,48
19:02:23,63,53
19:02:24,26,37
19:02:24,58,35
19:02:25,70,91
19:02:26,53,54
19:02:26,25,71
19:02:27,22,76
19:02:27,74,19
19:02:28,15,61
19:02:28,69,49
19:02:29,45,98
19:02:29,58,55
19:02:30,74,68
19:02:31,86,87
19:02:31,2,54
19:02:32,83,2
19:02:32,92,0
19:02:33,19,88
19:02:33,23,91
19:02:34,74,21
19:02:34,99,17
19:02:35,88,14
19:02:36,35,42
19:02:36,45,6
19:02:37,48,36
19:02:37,29,80
19:02:38,55,24
19:02:38,39,83
19:02:39,18,57
19:02:40,35,78
19:02:40,39,56
19:02:41,60,21
19:02:41,96,26
19:02:42,14,39
19:02:42,59,79
19:02:43,15,1
19:02:43,28,10
19:02:44,3,46
19:02:45,72,37
19:02:45,39,56
19:02:46,48,70
19:02:46,14,11
19:02:47,89,41
19:02:47,18,90
19:02:48,29,80
19:02:48,11,79
19:02:49,97,6
19:02:50,32,24
19:02:50,37,87
19:02:51,52,82
19:02:51,2,54
19:02:52,77,78
19:02:52,72,90
19:02:53,24,52
19:02:54,16,71
19:02:54,28,62
19:02:55,74,73
19:02:55,26,48
19:02:56,80,27
19:02:56,4,68
19:02:57,97,61
19:02:57,76,91
19:02:58,80,51
19:02:59,79,92
19:02:59,5,14
19:03:00,19,93
19:03:00,95,52
19:03:01,25,37
19:03:01,66,44
19:03:02,51,31
19:03:02,66,42
19:03:03,27,91
19:03:04,11,68
19:03:04,42,99
19:03:05,1,48
19:03:05,18,73
19:03:06,31,72
19:03:06,73,56
19:03:07,99,56
19:03:07,64,86
19:03:08,34,1
19:03:09,30,19
19:03:09,98,45
19:03:10,19,56
19:03:10,0,37
19:03:11,99,86
19:03:11,53,29
19:03:12,46,53
19:03:12,35,13
19:03:13,52,79
19:03:14,79,6
19:03:14,69,58
19:03:15,62,92
19:03:15,6,20
19:03:16,18,68
19:03:16,10,86
19:03:17,24,50
19:03:17,47,30
19:03:18,57,35
19:03:19,8,84
19:03:19,48,93
19:03:20,68,92
19:03:20,72,69
19:03:21,60,21
19:03:21,30,27
19:03:22,69,45
19:03:22,96,23
19:03:23,26,14
19:03:24,32,91
19:03:24,73,71
19:03:25,79,59
19:03:25,37,53
19:03:26,59,48
19:03:26,1,6
19:03:27,71,10
19:03:28,8,26
19:03:28,14,81
19:03:29,53,66
19:03:29,3,5
19:03:30,70,57
19:03:30,60,71
19:03:31,38,30
19:03:32,67,96
19:03:32,1,1
19:03:33,10,20
19:03:33,7,13
19:03:34,76,73
19:03:34,29,51
19:03:35,27,48
19:03:36,71,97
19:03:37,,
19:03:37,,
19:03:38,,
19:03:38,,
19:03:39,,
19:03:39,,
