Timestamp,RPM,SPEED,COOLANT_TEMP,THROTTLE_POS
11:28:19,2770,0.89,95,1.89
11:28:20,3311,104,96,56
11:28:20,3031,34,86,50
11:28:21,1404,112,96,96
11:28:21,4070,71,80,1.7
11:28:22,4303,46,85,17
11:28:22,918,129,105,95
11:28:23,4676,101,93,
11:28:23,4599,98,92,
11:28:24,1900,5.3,100,
11:28:24,3371,126,102,
11:28:25,2911,103,103,
11:28:25,992,4.24,109,
11:28:26,3872,55,103,
11:28:26,1431,86,84,
11:28:27,2712,91,89,
11:28:27,1069,97,93,
11:28:28,2494,128,88,
11:28:28,948,78,88,
11:28:29,4480,27,100,
11:28:29,2789,85,100,
11:28:30,2752,98,98,
11:28:30,4350,55,89,
11:28:31,1893,29,81,
11:28:32,2655,116,90,
11:28:32,3050,55,98,
11:28:33,4060,7.94,83,
11:28:33,1093,128,103,
11:28:34,1052,123,98,
11:28:34,1993,54,80,
11:28:35,1996,12,80,
11:28:35,4235,101,109,
11:28:36,1097,26,100,
11:28:36,2359,30,90,
11:28:37,1435,91,104,
11:28:37,3462,99,104,
11:28:38,2015,53,85,
11:28:38,4429,79,99,
11:28:39,2393,105,101,
11:28:39,4700,33,80,
11:28:40,1414,3.24,102,
11:28:40,1132,25,91,
11:28:41,3800,3.94,85,
11:28:41,973,35,99,
11:28:42,2545,43,92,
11:28:42,1891,55,82,
11:28:43,3037,25,94,
11:28:44,4594,114,100,
11:28:44,2325,67,99,
11:28:45,2298,15,102,
11:28:45,2608,58,109,
11:28:46,1589,67,93,
11:28:46,1759,9.19,95,
11:28:47,3295,0.01,87,
11:28:47,1847,107,98,
11:28:48,2470,45,102,
11:28:48,1683,120,109,
11:28:49,4141,26,84,
11:28:49,1395,20,88,
11:28:50,1112,127,88,
11:28:50,2305,55,94,
11:28:51,1973,24,104,
11:28:51,1300,128,90,
11:28:52,3318,8.33,92,
11:28:52,3437,25,105,
11:28:53,3249,74,100,
11:28:53,3856,48,95,
11:28:54,3253,117,101,
11:28:54,4518,104,87,
11:28:55,3746,83,99,
11:28:55,975,15,82,
11:28:56,3676,40,103,
11:28:56,3601,66,95,
11:28:57,3598,106,102,
11:28:57,4747,55,109,
11:28:58,4707,53,86,
11:28:58,4543,23,90,
11:28:59,881,29,103,
11:28:59,2641,95,108,
11:29:00,4135,53,86,
11:29:00,4820,62,108,
11:29:01,4783,69,97,
11:29:01,3783,46,94,
11:29:02,2045,43,93,
11:29:02,2219,124,95,
11:29:03,977,112,108,
11:29:03,1067,76,80,
11:29:04,3086,22,86,
11:29:04,1152,51,89,
11:29:05,3448,13,106,
11:29:05,1712,28,103,
